GramBank ID	Hedvigs thematic order	Feature	Possible Values	Clarifying Comments	OLD DO NOT USE Draft of clarifying comments to outsiders (before Jeremy, Hannah and Hedvigs draft)	Feature patron	Suggested standardised comments	Suggested standardised comments in dropdown menu form	progress on new description	Feature question in French	Relevant unit(s)	Function	Formal means	Unnamed: 14	Dependencies	Legacy status	GramBank-status	Work in progress comment	Jeremy - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (keep identical as it is, keep copy but also add new better version, add hyper, add hypo, delete)	Hedvig - Estimated action (add complement?)	Hedvig - Estimated action commentary	Wordhood issues	NTS or GramBank?	dependencies in the grambank features	Inspired by WALS	di garbo	have been dealt with during homework1 (Jeremy, Hanna, Hedvig)	Africa-spec	Complementing F1-F160	other complements	Very hard to deny	Prone to misunderstandings among researchers	Requires extensive data on the language	Design (just from Hedvigs memory)	"Relevant for Nick and ""Parabank"""	Last edited	Is there a typological survey that already covers this feature somehow?	Previous comments	Old comments	Hedvig's meta-comment (mostly to herself)	Harald's clarification and/or reformulation	Old feature number	Old feature	db_Object	db_Domain
GB074	Hedvigs_thematic_order076	Are there prepositions?	3:?;1: present;4:y;2:n;0: absent				Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs, Only one or very few		in progress	Existe-t-il des prépositions ?	adposition	argument marking - core, argument marking - oblique	phonologically independent item		74	Sahul	keepers		add hyper	add hyper	add complenting		y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 85					2.9.03	Are there prepositions?	Are there prepositions?	{'0': <DomainElement 'GB074-0'>, '3': <DomainElement 'GB074-3'>, '?': <DomainElement 'GB074-?'>, '1': <DomainElement 'GB074-1'>, '2': <DomainElement 'GB074-2'>, '4': <DomainElement 'GB074-4'>}
GB075	Hedvigs_thematic_order077	Are there postpositions?	4:?;1: present;3:y;2:n;0: absent				Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs, Only one or very few		in progress	Existe-t-il des postpositions ?	adposition	argument marking - core, argument marking - oblique	phonologically independent item		75	Sahul	keepers		add hyper	add hyper	add complenting		y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Yes, WALS-chapter 85					2.9.04	Are there postpositions?	Are there postpositions?	{'0': <DomainElement 'GB075-0'>, '3': <DomainElement 'GB075-3'>, '?': <DomainElement 'GB075-?'>, '1': <DomainElement 'GB075-1'>, '2': <DomainElement 'GB075-2'>, '4': <DomainElement 'GB075-4'>}
GB076	Hedvigs_thematic_order0193	Are there adpositions to mark core NPs?	4:?;0: absent;5:n/a;1: present;3:y;2:n	Core NPs are the NPs required by the verb to be present, typically S, A or O. We are not to count the arguments of non-prototypical clause types, such as copula, existential verbs or predicative possessive constructions that are construed with copulas or existential verbs as core arguments.	Core NPs are the NPs required by the verb to be present, typically S, A or O. We are not to count the arguments of non-prototypical clause types, such as copula, existential verbs or predicative possessive constructions that are construed with copulas or existential verbs as core arguments.		Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs		in progress	Existe-t-il des adpositions qui marquent les NPs basiques (i.e. S, A et O)?	adposition, NP, case marker	argument marking - core	phonologically independent item		76	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Yes, WALS-chapter 85				Core NPs are the NPs required by the verb to be present	2.9.05	Are there adpositions to mark core NPs?	Are there adpositions to mark core NPs?	{'0': <DomainElement 'GB076-0'>, '3': <DomainElement 'GB076-3'>, '?': <DomainElement 'GB076-?'>, '1': <DomainElement 'GB076-1'>, '2': <DomainElement 'GB076-2'>, '4': <DomainElement 'GB076-4'>}
GB077	Hedvigs_thematic_order0196	Are there adpositions to mark oblique NPs?	4:?;0: absent;5:n/a;1: present;3:y;2:n	Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique function is defined as marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique adpositions without also having adpositions or case marking core arguments.	Oblique NPs are NPs not required by the verb to be present, adverbial information, locative phrases, temporal phrases etc. Oblique function is defined as marking that relates the role of the argument to the predicate - that is not core (S, A or O). We explicitly exclude “genitive” from oblique cases since it is not concerned with the role of the argument to the predicate but within an NP. Languages can have oblique adpositions without also having adpositions or case marking core arguments.		Not mentioned, The markers are treated as bound to the noun, The adpositions are often also lexical nouns and verbs		in progress	Existe-t-il des adpositions qui marquent les NPs obliques?	adposition, NP, case marker	argument marking - oblique	phonologically independent item		77	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/04/2014 00:00						2.9.06	Are there adpositions to mark oblique NPs?	Are there adpositions to mark oblique NPs?	{'0': <DomainElement 'GB077-0'>, '3': <DomainElement 'GB077-3'>, '?': <DomainElement 'GB077-?'>, '1': <DomainElement 'GB077-1'>, '2': <DomainElement 'GB077-2'>, '4': <DomainElement 'GB077-4'>}
GB078		Is there a distinction between locational and directional adpositions?	3:n/a;2:?;1:y;0:n																																										Is there a distinction between locational and directional adpositions?	{'1': <DomainElement 'GB078-1'>, '0': <DomainElement 'GB078-0'>, '2': <DomainElement 'GB078-2'>, '?': <DomainElement 'GB078-?'>}
GB079	Hedvigs_thematic_order0177	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	1: present;3:y;2:n;0: absent	"The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count. This feature is not logically triggered by the following features, but if you have coded ""1"" for either of these you are advised to consider whether it would also result in a ""1"" for this feature: 152, 101, 151, 149, 82, 83, 84, 87, 88, 107, 104, 103, 147, 148, 114 and 115. The reason why there is no strict logical dependency is because while they all deal with markings on the verb, these can theoretically be other markings than prefixes, proclitics, enclitics or suffixes (reduplication, tone and suppletion). Since this kind of marking is rare, we recommend all coders being aware of this link even though it is not technically a strict dependency."	The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expression more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count.		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, Only one or very few		in progress	Existe-t-il des préfixes/proclitiques de verbe, autres que ceux qui marquent seulement A, S ou O (y compris des morphèmes portemanteaux: A & S + TAM)?	verb, bound person form, portmanteau morpheme	argument marking - core, argument marking - oblique, TAM	affixation and cliticization, bound person marking, conjugation		79	Sahul	keepers		word	keep identical copy	add complenting		y	NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Nja, WALS-chapter 69 is useful	A, S, and O affixes are dealt with in 89-94	A, S, and O affixes are dealt with in 3.3			3.1.04a	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	{'1': <DomainElement 'GB079-1'>, '0': <DomainElement 'GB079-0'>, '3': <DomainElement 'GB079-3'>, '2': <DomainElement 'GB079-2'>, '?': <DomainElement 'GB079-?'>}
GB080	Hedvigs_thematic_order0178	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	5:?;0: absent;4:no data;1: present;2:y;3:n	"The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expressing more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count. This feature is not logically triggered by the following features, but if you have coded ""1"" for either of these you are advised to consider whether it would also result in a ""1"" for this feature: 152, 101, 151, 149, 82, 83, 84, 87, 88, 107, 104, 103, 147, 148, 114 and 115. The reason why there is no strict logical dependency is because while they all deal with markings on the verb, these can theoretically be other markings than prefixes, proclitics, enclitics or suffixes (reduplication, tone and suppletion). Since this kind of marking is rare, we recommend all coders being aware of this link even though it is not technically a strict dependency."	The portmanteau morphemes in questions could be of person, number or TAM or markers of reciprocity, location, benefactive, direction etc. If there are affixes devoted to TAM solely these are also counted. Person markings expressing more than one argument, relative markers or relative pronouns are also included here if they form a phonological units with the root. The outcome of this affixation has to be a verb, i.e. a affix that makes a verb into an instrumental noun for example would not count.		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, Only one or very few		in progress	Existe-t-il des suffixes/enclitiques de verbe, autres que ceux qui marquent seulement A, S ou O (y compris des morphèmes portemanteaux: A & S + TAM)?	verb, bound person form, portmanteau morpheme	argument marking - core, argument marking - oblique, TAM	affixation and cliticization, bound person marking, conjugation		80	Sahul	keepers		word	keep identical copy	add complenting		y	NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Nja, WALS-chapter 69 is useful					3.1.05a	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?	{'0': <DomainElement 'GB080-0'>, '3': <DomainElement 'GB080-3'>, '5': <DomainElement 'GB080-5'>, '?': <DomainElement 'GB080-?'>, '1': <DomainElement 'GB080-1'>, '2': <DomainElement 'GB080-2'>, '4': <DomainElement 'GB080-4'>}
GB081	Hedvigs_thematic_order0107	Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?	1: present;3:y;2:n;0: absent	This affix is stem internal, not between other affixes. Kashaya is a languge that illustrates this principle well.	This affix is stem internal, not between other affixes. Kashaya is a languge that illustrates this principle well.		Not mentioned, It is a type of reduplication, Some other doubt about why it is an infix		in progress	Est-il possible d'utiliser l’infixation dans les verbes pour des raisons de dérivation, d'aspect, ou de changement de voix?	verb	derivation, TAM, valency change	infixation		81	Sahul	keepers	Hard to apply consistenly accross a global sample by muliple coders in a productive way	keep	delete			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								3.1.06	Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?	Can infixation be used on verbs for derivational, aspectual, or voice-changing purposes?	{'1': <DomainElement 'GB081-1'>, '0': <DomainElement 'GB081-0'>, '3': <DomainElement 'GB081-3'>, '2': <DomainElement 'GB081-2'>, '?': <DomainElement 'GB081-?'>}
GB082	Hedvigs_thematic_order092	Is there present tense regularly morphologically marked on the verb?	1: present;2:n;0: absent	"This question aims at capturing overt productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included.This feature aims at capturing over marking of present tense on the verb, i.e. lack of other markings is not enough. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."	"This question aims at capturing overt productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included.This feature aims at capturing over marking of present tense on the verb, i.e. lack of other markings is not enough. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."		Not mentioned, The marker is described as non-past rather than specifically present, The marker conveys both tense and aspect, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le temps présent est régulièrement marqué morphologiquement sur le verbe ?	verb	TAM	conjugation		82	Sahul	keepers		word	keep identical copy	add complenting		y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Yes, Dahl 1985 Tense and Aspect-systems (PDF is available free online)			NB: morphology		3.2.01a	Is there present tense regularly morphologically marked on the verb?	Is there present tense regularly morphologically marked on the verb?	{'1': <DomainElement 'GB082-1'>, '0': <DomainElement 'GB082-0'>, '2': <DomainElement 'GB082-2'>, '?': <DomainElement 'GB082-?'>}
GB083	Hedvigs_thematic_order093	Is there past tense regularly morphologically marked on the verb?	1: present;2:n;0: absent	"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."	"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le temps passé est régulièrement marqué morphologiquement sur le verbe ?	verb	TAM	conjugation		83	Sahul	keepers		word	keep identical copy	add complenting		y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Yes, WALS-chapter 66			NB: morphology		3.2.02a	Is there past tense regularly morphologically marked on the verb?	Is there past tense regularly morphologically marked on the verb?	{'1': <DomainElement 'GB083-1'>, '0': <DomainElement 'GB083-0'>, '2': <DomainElement 'GB083-2'>, '?': <DomainElement 'GB083-?'>}
GB084	Hedvigs_thematic_order094	Is there future tense regularly morphologically marked on the verb?	1: present;2:n;0: absent	"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."	"This question aims at capturing productive paradigms of tense. ""On the verb"" here means that the marker has to form a phonological unit with the roots. This could refer to an affix, but suppletion, tonal marking and reduplication is also included. There are instances where TAM can be expressed by a combination of an affix and auxiliary, for example some grammarians state that future tense is accomplished by a certain aspect on the verbal root and an auxiliary. If this is the productive grammatical obligatory way of expression the tense in question than such a construction is allowed to trigger yes (1) for both ""on the verb ""and ""auxiliary""."		Not mentioned, The marker is described as conveying non-past rather than specifically future, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le temps futur est régulièrement marqué morphologiquement sur le verbe ?	verb	TAM	conjugation		84	Sahul	keepers		word	keep identical copy	add complenting		y	NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Yes, WALS-chapter 67			NB: morphology		3.2.02b	Is there future tense regularly morphologically marked on the verb?	Is there future tense regularly morphologically marked on the verb?	{'1': <DomainElement 'GB084-1'>, '0': <DomainElement 'GB084-0'>, '2': <DomainElement 'GB084-2'>, '?': <DomainElement 'GB084-?'>}
GB085		Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	1:n/a;0:n																																										Are there multiple past or future tenses, distinguishing distance from Time of Reference, marked on the verb?	{'0': <DomainElement 'GB085-0'>, '?': <DomainElement 'GB085-?'>}
GB086	Hedvigs_thematic_order097	Is a distinction between punctual/continuous aspect available as a morphological choice?	1: present;2:y;3:n;0: absent	"These categories could go by the name of imperfect-perfective, preterit-progressive etc. The answer could be ""yes"" even if it's only one that is overtly marked, i.e. if imperfective is by affix and perfective by auxiliary for example. Please take notice that 310 and 86 are not covering exactly the same functions, there are more aspects than punctual/continuous."	"These categories could go by the name of imperfect-perfective, preterit-progressive etc. The answer could be ""yes"" even if it's only one that is overtly marked, i.e. if imperfective is by affix and perfective by auxiliary for example."		Not mentioned, The marker is adjacent to the verb but not treated as morphologically bound		in progress	Existe-t-il une distinction morphologique entre l' aspect ponctuel et le continu?	verb	TAM	conjugation		86	Sahul	keepers			keep identical copy	add complenting		y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.		03/01/2014 00:00	Yes, WALS-chapter 65			NB: morphology		3.2.10	Is a distinction between punctual/continuous aspect available as a morphological choice?	Is a distinction between punctual/continuous aspect available as a morphological choice?	{'1': <DomainElement 'GB086-1'>, '0': <DomainElement 'GB086-0'>, '2': <DomainElement 'GB086-2'>, '3': <DomainElement 'GB086-3'>, '?': <DomainElement 'GB086-?'>}
GB087	Hedvigs_thematic_order0102	Is a distinction between realis/irrealis mood available as a morphological choice?	1: present;3:y;2:n;0: absent	Markers of status (realis/irrealis) need to be dedicated to that function and possible in most TAM-contexts, it cannot be restricted to certain TAM or polarity contexts.	Markers of status (realis/irrealis) need to be dedicated to that function and possible in most TAM-contexts, it cannot be restricted to certain TAM or polarity contexts.	Jeremy	Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, It is called 'realis'/'irrealis' by the grammar		in progress	Existe-t-il une distinction de mode realis/irrealis en temps que choix morphologique?	verb	TAM	conjugation		87	Sahul	keepers		word	delete			y	NTS									Yes		Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.								3.2.11	Is a distinction between realis/irrealis mood available as a morphological choice?	Is a distinction between realis/irrealis mood available as a morphological choice?	{'1': <DomainElement 'GB087-1'>, '0': <DomainElement 'GB087-0'>, '3': <DomainElement 'GB087-3'>, '2': <DomainElement 'GB087-2'>, '?': <DomainElement 'GB087-?'>}
GB088	Hedvigs_thematic_order0103	Is there an apprehensive modal category marked on the verb also known as 'evitative', 'lest', etc.?	1: present;2:n;0: absent	"For example, in a sentence like ""he is sick "" can you mark ""is-sick"" with an apprehensive modal category to get the meaning he might become sick (and this is an unwanted state of affairs that one would like to avoid) ."	"For example, in a sentence like ""he is sick "" can you mark ""is-sick"" with an apprehensive modal category to get the meaning he might become sick (and this is an unwanted state of affairs that one would like to avoid) ."		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound, There is a marker but it has other functions		in progress	Existe-t-il une catégorie modale appréhensive? Cette catégorie peut être appelée ‘evitative’ etc.	verb	TAM	conjugation		88	Sahul	keepers	Hard to apply consistenly accross a global sample by muliple coders in a productive way	word	delete			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.					also known as 'evitative', 'lest', etc		"For example, in a sentence like ""he is sick "" can you mark ""is-sick"" with an apprehensive modal category to get the meaning he might become sick (and this is an unwanted state of affairs that one would like to avoid) ."	3.2.12	Is there an apprehensive modal category marked on the verb	Is there an apprehensive modal category marked on the verb also known as 'evitative', 'lest', etc.?	{'1': <DomainElement 'GB088-1'>, '0': <DomainElement 'GB088-0'>, '2': <DomainElement 'GB088-2'>, '?': <DomainElement 'GB088-?'>}
GB089	Hedvigs_thematic_order0179	Is the S participant (at least sometimes) marked by a suffix/enclitic?	1: present;3:y;2:n;0: absent	Is there a bound postverbal marker on the verb that marks for the S-participant?	Is there a bound post verbal marker on the verb that marks for the S-participant?		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le participant S est marqué par un suffixe/enclitique (au moins parfois)?	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order		89	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 51 is useful	pertains to verb morphology	3.3.07-3.3.12 pertain to verb morphology			3.3.07	Is the S participant (at least sometimes) marked by a suffix/enclitic?	Is the S participant (at least sometimes) marked by a suffix/enclitic?	{'1': <DomainElement 'GB089-1'>, '0': <DomainElement 'GB089-0'>, '3': <DomainElement 'GB089-3'>, '2': <DomainElement 'GB089-2'>, '?': <DomainElement 'GB089-?'>}
GB090	Hedvigs_thematic_order0180	Is the S participant (at least sometimes) marked by a prefix/proclitic?	4:?;1: present;2:y;3:n;0: absent	Is there a bound preverbal marker on the verb that marks for the S-participant?	Is there a bound preverbal marker on the verb that marks for the S-participant?		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le participant S est marqué (au moins parfois) par un préfixe/proclitique?	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order		90	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 51 is useful	pertains to verb morphology				3.3.08	Is the S participant (at least sometimes) marked by a prefix/proclitic?	Is the S participant (at least sometimes) marked by a prefix/proclitic?	{'0': <DomainElement 'GB090-0'>, '3': <DomainElement 'GB090-3'>, '?': <DomainElement 'GB090-?'>, '1': <DomainElement 'GB090-1'>, '2': <DomainElement 'GB090-2'>, '4': <DomainElement 'GB090-4'>}
GB091	Hedvigs_thematic_order0181	Is the A participant (at least sometimes) marked by a suffix/enclitic?	3:?;1: present;4:y;2:n;0: absent	Is there a bound postverbal marker on the verb that marks for the A-participant?	Is there a bound post verbal marker on the verb that marks for the A-participant?		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le participant A est marqué (au moins parfois) par un suffixe/enclitique ?	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order		91	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 51 is useful	pertains to verb morphology				3.3.09	Is the A participant (at least sometimes) marked by a suffix/enclitic?	Is the A participant (at least sometimes) marked by a suffix/enclitic?	{'0': <DomainElement 'GB091-0'>, '3': <DomainElement 'GB091-3'>, '?': <DomainElement 'GB091-?'>, '1': <DomainElement 'GB091-1'>, '2': <DomainElement 'GB091-2'>, '4': <DomainElement 'GB091-4'>}
GB092	Hedvigs_thematic_order0182	Is the A participant (at least sometimes) marked by a prefix/proclitic?	1: present;3:y;2:n;0: absent	Is there a bound preverbal marker on the verb that marks for the A-participant?	Is there a bound preverbal marker on the verb that marks for the A-participant?		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le participant A est marqué (au moins parfois) par un préfixe/proclitique ?	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order		92	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 51 is useful	pertains to verb morphology				3.3.10	Is the A participant (at least sometimes) marked by a prefix/proclitic?	Is the A participant (at least sometimes) marked by a prefix/proclitic?	{'1': <DomainElement 'GB092-1'>, '0': <DomainElement 'GB092-0'>, '3': <DomainElement 'GB092-3'>, '2': <DomainElement 'GB092-2'>, '?': <DomainElement 'GB092-?'>}
GB093	Hedvigs_thematic_order0183	Is the O participant (at least sometimes) marked by a suffix/enclitic?	1: present;3:y;2:n;0: absent	Is there a bound postverbal marker on the verb that marks for the O-participant?	Is there a bound post verbal marker on the verb that marks for the O-participant?		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le participant O est marqué par un suffixe/enclitique (au moins parfois)?	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order		93	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 51 is useful	pertains to verb morphology				3.3.11	Is the O participant (at least sometimes) marked by a suffix/enclitic?	Is the O participant (at least sometimes) marked by a suffix/enclitic?	{'1': <DomainElement 'GB093-1'>, '0': <DomainElement 'GB093-0'>, '3': <DomainElement 'GB093-3'>, '2': <DomainElement 'GB093-2'>, '?': <DomainElement 'GB093-?'>}
GB094	Hedvigs_thematic_order0184	Is the O participant (at least sometimes) marked by a prefix/proclitic?	1: present;2:y;3:n;0: absent	Is there a bound preverbal marker on the verb that marks for the O-participant?	Is there a bound preverbal marker on the verb that marks for the o-participant?		Not mentioned, The markers are adjacent to the verb but not treated as morphologically bound		in progress	Est-ce que le participant O est marqué (au moins parfois) par un préfixe/proclitique?	verb, bound person form	argument marking - core	affixation and cliticization, bound person marking, conjugation, word order		94	Sahul	keepers			replace with better formulation and definition			y	NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.			Nja, WALS-chapter 51 is useful	pertains to verb morphology				3.3.12	Is the O participant (at least sometimes) marked by a prefix/proclitic?	Is the O participant (at least sometimes) marked by a prefix/proclitic?	{'1': <DomainElement 'GB094-1'>, '0': <DomainElement 'GB094-0'>, '2': <DomainElement 'GB094-2'>, '3': <DomainElement 'GB094-3'>, '?': <DomainElement 'GB094-?'>}
GB095	Hedvigs_thematic_order0185	Are variations in marking strategies of core participants based on TAM distinctions?	4:n/a;1: present;3:y;2:n;0: absent	"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted."	"By ""marking strategies of core participants"" we are referring to the placement of affix/clitic marking in relation to the verbal root. refer F95-98 does not relate to alignment (F141-142, F278-282) but to the prefix/proclitic & suffix/enclitic-features of F89-F94. The fact that arguments can be marked by independent pronouns or by verbal agreement only is not relevant here, it is the position in relation to the verbal root that is targeted."		Not mentioned		in progress	Est-ce que les variations dans les stratégies de marquage des participants basiques sont déterminées par des distinctions de TAM?	verb, bound person form	argument marking - core, TAM	affixation and cliticization, bound person marking, conjugation, word order		249:0 -> 95:na	Sahul	keepers			keep identical copy				NTS											Michael Dunn, Ger Reesink, Stephen Levinson, Ruth Singer et al.				this question refers to variations , if they occur	3.3.15-18 refer to variations (if they occur) in 3.3.07-12			3.3.15	Are variations in marking strategies of core participants based on TAM distinctions?	Are variations in marking strategies of core participants based on TAM distinctions?	{'1': <DomainElement 'GB095-1'>, '0': <DomainElement 'GB095-0'>, '3': <DomainElement 'GB095-3'>, '2': <DomainElement 'GB095-2'>, '?': <DomainElement 'GB095-?'>}
