ID,Parameter_ID,Language_ID,Feature,Code_ID,Answer,Comment,Source,Possible_Values,Suggested_standardised_comments
1806,GB194,buna1278-suai,Are there indefinite or non-specific articles?,0,n,,,0:n;1:y,
1807,GB195,buna1278-suai,Can a noun receive more than one noun class marker at the same time?,0,n,,,0:n,
1808,GB196,buna1278-suai,Is there a gender distinction in 2nd person pronouns?,2,n,,,2:n;1: present;0: absent,Not mentioned
1809,GB197,buna1278-suai,Is there a gender distinction in 1st person pronouns?,2,n,,,2:n;1: present;0: absent,Not mentioned
1810,GB198,buna1278-suai,Can a numeral used attributively agree with any gender/noun class of the noun it modifies?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; An additional marker dependent on the gender of the noun is present but not called agreement
1811,GB199,buna1278-suai,Can verbs agree with the gender/noun class of the nominal object?,0,n,,,0:n;1:y,
1812,GB200,buna1278-suai,Can verbs agree in number with the nominal object?,0,y,,,1:n;0:y;2:?,
1813,GB202,buna1278-suai,Is there a distinction between masculine and feminine in 2nd person pronouns?,0,n,,,0:n,
1814,GB203,buna1278-suai,"What is the order of the collective universal quantifier (""all"") and the noun?",3,both,,needs-check,6:3;0: no UQ;5:2;4:0;3: both;2: N-UQ;1: UQ-N;7:?,Not mentioned; 'All' does not modify the noun e.g. it is an adverb
1815,GB204,buna1278-suai,Is there a distinction between collective ('all') and distributive ('every') universal quantifiers?,2,y,naran 'every (sort)' precedes N; hotu-hotu 'all' follows N. ,p. 105-106,0: absent;6:no;5:n;1: present;4:no data;2:y;3:?,Not mentioned
1816,GB205,buna1278-suai,Is number marking prohibited on inanimate nouns?,?,Not known,,,0:n;1:?,
1817,GB206,buna1278-suai,Is number marking prohibited on mass nouns?,?,Not known,,,0:n;1:?,
1818,GB207,buna1278-suai,Is number marking optional on certain (types of) nouns?,?,Not known,,,0:n;1:y;2:?,
1819,GB208,buna1278-suai,Can singular number be marked by a prefix on the noun?,?,Not known,,,0:n,
1820,GB209,buna1278-suai,Can singular number be marked by a suffix on the noun?,?,Not known,,,0:n,
1821,GB210,buna1278-suai,Can singular number be marked by suppletion on the noun?,?,Not known,,,0:n,
1822,GB211,buna1278-suai,Can singular number be marked by tone alone on the noun?,?,Not known,,,0:n,
1823,GB212,buna1278-suai,Can dual number be marked by a prefix on the noun?,?,Not known,,,0:n,
1824,GB213,buna1278-suai,Can dual number be marked by a suffix on the noun?,?,Not known,,,0:n,
1825,GB214,buna1278-suai,Can dual number be marked by suppletion on the noun?,?,Not known,,,0:n,
1826,GB215,buna1278-suai,Can dual number be marked by tone alone on the noun?,?,Not known,,,0:n,
1827,GB216,buna1278-suai,Can dual number be marked by reduplication on the noun?,?,Not known,,,0:n,
1828,GB217,buna1278-suai,Can plural number be marked by a prefix on the noun?,?,Not known,,,0:n,
1829,GB218,buna1278-suai,Can plural number be marked by a suffix on the noun?,?,Not known,,,0:n;1:y,
1830,GB219,buna1278-suai,Can plural number be marked by suppletion on the noun?,?,Not known,,,0:n,
1831,GB220,buna1278-suai,Can plural number be marked by tone alone on the noun?,?,Not known,,,0:n,
1832,GB221,buna1278-suai,Can plural number be marked by reduplication on the noun?,?,Not known,,,0:n;1:y,
1833,GB222,buna1278-suai,Can trial number be marked by a prefix on the noun?,?,Not known,,,0:n,
1834,GB223,buna1278-suai,Can trial number be marked by a suffix on the noun?,?,Not known,,,0:n,
1835,GB224,buna1278-suai,Can trial number be marked by suppletion on the noun?,?,Not known,,,0:n,
1836,GB225,buna1278-suai,Can trial number be marked by tone alone on the noun?,?,Not known,,,0:n,
1837,GB226,buna1278-suai,Can trial number be marked by reduplication on the noun?,?,Not known,,,0:n,
1838,GB227,buna1278-suai,Can paucal number be marked by a prefix on the noun?,?,Not known,,,0:n,
1839,GB228,buna1278-suai,Can paucal number be marked by a suffix on the noun?,?,Not known,,,0:n,
1840,GB229,buna1278-suai,Can paucal number be marked by suppletion on the noun?,?,Not known,,,0:n,
1841,GB230,buna1278-suai,Can paucal number be marked by tone alone on the noun?,?,Not known,,,0:n,
1842,GB231,buna1278-suai,Can paucal number be marked by reduplication on the noun?,?,Not known,,,0:n,
1843,GB232,buna1278-suai,Can diminutive be marked by a prefix on the noun?,?,Not known,,,0:n,
1844,GB234,buna1278-suai,Can diminutive be marked by a suffix on the noun?,?,Not known,,,0:n,
1845,GB235,buna1278-suai,Can diminutive be marked by suppletion on the noun?,?,Not known,,,0:n,
1846,GB236,buna1278-suai,Can diminutive be marked by tone on the noun?,?,Not known,,,0:n,
1847,GB237,buna1278-suai,Can diminutive be marked by reduplication on the noun?,?,Not known,,,0:n,
1848,GB238,buna1278-suai,Can diminutive be marked by noun class selection?,?,Not known,,,0:n,
1849,GB239,buna1278-suai,Can augmentative be marked by a prefix on the noun?,?,Not known,,,0:n,
1850,GB240,buna1278-suai,Can augmentative be marked by a suffix on the noun?,?,Not known,,,0:n,
1851,GB241,buna1278-suai,Can augmentative be marked by suppletion on the noun?,?,Not known,,,0:n,
1852,GB242,buna1278-suai,Can augmentative be marked by tone on the noun?,?,Not known,,,0:n,
1853,GB243,buna1278-suai,Can augmentative be marked by reduplication on the noun?,?,Not known,,,0:n,
1854,GB244,buna1278-suai,Can augmentative be marked by noun class selection?,?,Not known,,,0:n,
1855,GB245,buna1278-suai,Can gender/noun class be marked by a prefix on the noun?,0,n,,,0:n,
1856,GB246,buna1278-suai,Can gender/noun class be marked by a suffix on the noun?,0,n,,,0:n,
1857,GB247,buna1278-suai,Can gender/noun class be marked by suppletion on the noun?,0,n,,,0:n,
1858,GB248,buna1278-suai,Can gender/noun class be marked by tone on the noun only?,0,n,,,0:n,
1859,GB249,buna1278-suai,Are there variations in marking strategies of core participants?,0,n,,,0:n;1:y,
1860,GB250,buna1278-suai,Can predicative possession be formed with a habeo-verb?,3,n,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The habeo verb is also an existential verb
1861,GB251,buna1278-suai,Can predicative possession be formed by an intransitive construction with an locational/existential/copula predicate where the possessum is the subject?,0,y,,p. 371,1:n;0:y;2:?,
1862,GB252,buna1278-suai,Can predicative possession be formed with a locative possessive?,2,y,,p. 371,3:n;1: present;0: absent;2:y;4:?,Not mentioned
1863,GB253,buna1278-suai,Can predicative possession be formed with a dative possessive?,3,n,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
1864,GB254,buna1278-suai,Can predicative possession be formed with a genitive possessive?,3,n,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned
1865,GB255,buna1278-suai,Can predicative possession be formed with a topic possessive?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned
1866,GB256,buna1278-suai,Can predicative possession be formed with a conjunctional possessive?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned
1867,GB257,buna1278-suai,Can polar interrogation be marked by intonation only?,2,y,,,3:n;1: present;0: absent;2:y;4:?,Not mentioned; The question particle carries tone but this might also be intonation
1868,GB258,buna1278-suai,Is the polar interrogative intonation rising?,0,y,,,2:no data;0:y;1:?,
1869,GB259,buna1278-suai,Is the polar interrogative intonation falling?,0,n,,,0:n;2:no data;3:y;1:?,
1870,GB260,buna1278-suai,Can polar interrogation be marked by change in word order only?,2,n,,,2:n;1: present;0: absent,Not mentioned
1871,GB261,buna1278-suai,Can polar interrogation be marked by a particle only?,1,y,,,0:n;1:y;2:?,
1872,GB262,buna1278-suai,Is there a clause-initial polar interrogative particle?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The elements used in polar interrogation are distributed over the clause
1873,GB263,buna1278-suai,Is there a clause-final polar interrogative particle?,2,y,,,4:n;1: present;0: absent;2:y;3:?,Not mentioned; The elements used in polar interrogation are distributed over the clause
1874,GB264,buna1278-suai,Is there a clause-medial polar interrogative particle?,2,n,,,2:n;1: present;0: absent;3:?,Not mentioned; The elements used in polar interrogation are distributed over the clause
1875,GB265,buna1278-suai,"Can comparative constructions be construed with a verb meaning ""surpass"" or ""exceed""?",3,n,adverb lesin 'more',,0: absent;3:n;1: present;2:no data;4:y;5:?,Not mentioned
1876,GB266,buna1278-suai,Can comparative constructions be construed with a locative comparative?,3,y,the verbal form -o also marks point of relation in locations.,p. 430-431,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned
1877,GB267,buna1278-suai,Can comparative constructions be construed with a from-comparative?,0,n,,,0:n;1:no data;2:y;3:?,
1878,GB268,buna1278-suai,Can comparative constructions be construed with a to-comparative?,0,n,,,0:n;2:no data;1:y;3:?,
1879,GB269,buna1278-suai,Can comparative constructions be construed with a benefactive comparative?,0,n,,,0:n;1:no data;2:?,
1880,GB270,buna1278-suai,Can comparative constructions be construed with conjoined clauses?,4,n,,,0: absent;4:n;1: present;2:no data;3:y;5:?,Not mentioned
1881,GB271,buna1278-suai,Are the predicates in the conjoined comparative construction antonyms?,?,Not known,,,1:n;0:no data;3:y;2:?,
1882,GB272,buna1278-suai,Do the  predicates in the conjoined comparative construction differ in polarity?,?,Not known,,,1:n;0:no data;3:y;2:?,
1883,GB273,buna1278-suai,Can comparative constructions be construed with a particle?,2,n,,,0: absent;2:n;1: present;3:no data;4:y;5:?,Not mentioned
1884,GB274,buna1278-suai,Is the element marking the gradable property concepts in the comparative construction marked for comparison in any way?,2,y,,,1:n;0:no data;2:y;3:?,
1885,GB275,buna1278-suai,Is the element marking the property concept in the comparative construction marked by an affix indicating comparision or grading?,2,n,,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; The marker is adjacent to the property word but not treated as morphologically bound
1886,GB276,buna1278-suai,Is the element marking the property concept in the comparative construction marked by a sepeare degree word indicating comparision or grading?,3,y,,,0: absent;2:n;1: present;4:no data;3:y;5:?,Not mentioned; The marker is adjacent to the property word but not treated as morphologically bound
1887,GB277,buna1278-suai,Can comparative constructions be construed with a at-comparative?,0,n,,,0:n;2:no data;1:y;3:?,
1888,GB278,buna1278-suai,Is there variation in conflation of arguments marking core participants?,1,n,,,1:n;2:no data;0:y;3:?,
1889,GB279,buna1278-suai,Is there variation in conflation of core participants based on TAM distinctions?,?,Not known,,,2:n;1: present;3:no data;0: absent;4:?,Not mentioned
1890,GB280,buna1278-suai,Are variation in conflation of core participants based on verb classes?,?,Not known,,,1:n;2:no data;0:y;3:?,
1891,GB281,buna1278-suai,Is there variation in conflation of core participants based on clause type; e.g. main vs. subordinate?,?,Not known,,,2:n;1: present;3:no data;0: absent;4:?,Not mentioned
1892,GB282,buna1278-suai,Are variation in conflation of core participants based on person distinctions?,?,Not known,,,1:n;2:no data;0:y;3:?,
1893,GB283,buna1278-suai,Can verbs agree with the gender/noun class of the nominal subject?,1,y,p. 188 has an example where verb agrees with animate noun subject.,section 10.1,0:n;1:y,
1894,GB284,buna1278-suai,Can verbs agree with the number of the nominal subject?,0,n,,,0:n;1:y;2:?,
1895,GB285,buna1278-suai,Can polar interrogation be marked by a question particle and verbal morphology?,2,n,,,2:n;1: present;3:y;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1896,GB286,buna1278-suai,Can polar interrogation be marked by verbal morphology only?,2,n,,,2:n;1: present;0: absent,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1897,GB287,buna1278-suai,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of case marking?,0,n,,,1:y?;0:n,
1898,GB288,buna1278-suai,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of core argument marking by adpositions?,0,n,,,0:n,
1899,GB289,buna1278-suai,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of verbal agreement marking?,1,y,prefix g- on the verb -ege 'give' encodes the recipient,,0:n;1:y;2:?,
1900,GB290,buna1278-suai,Can recipients be treated as a transitive object; i.e. as Direct Object in terms of verbal person marking (not agreement)?,1,n,,,1:n;0:y,
1901,GB291,buna1278-suai,Can polar interrogation be marked by tone?,2,n,,,2:n;1: present;3:?;0: absent,Not mentioned; The question particle carries tone but this might also be intonation
1902,GB292,buna1278-suai,Is the particle marking polar interrogation not tone?,0,y,,,1:n;0:y;2:?,
1903,GB294,buna1278-suai,Are there ideophones that depict sensory imagery beyond sound?,0,n,,,0:n;1:no data;2:?,
1904,GB295,buna1278-suai,Can ideophones act like verbs?,1,n,,,1:n;2:no data;0:y;3:?,
1905,GB295,buna1278-suai,Can ideophones act like verbs?,1,n,,,1:n;2:no data;0:y;3:?,
1906,GB296,buna1278-suai,Is there a morphosyntactically definable class of ideophones (beyond sound)?,?,Not known,,,2:n;1: present;4:no data;0: absent;3:?,Not mentioned
1907,GB297,buna1278-suai,Can polar interrogation be marked by a construction of the type “V Neg V”?,?,Not known,,,0: absent;1: present,Not mentioned
1908,GB298,buna1278-suai,Can standard negation be marked by negative auxiliaries?,?,Not known,,,0: absent;1: present,Not mentioned; Unclear whether it should count as an auxiliary given that no verbs carry inflection
1909,GB299,buna1278-suai,Can standard negation be marked by a freestanding particle?,?,Not known,,,0: absent;1: present,Not mentioned
1910,GB300,buna1278-suai,Is there a verb for the function 'give' that is suppletive for any grammatical category?,?,Not known,,,0: absent;1: present,Not mentioned
1911,GB301,buna1278-suai,Does the language have inclusory constructions productively?,?,Not known,,,0: absent;1: present,Not mentioned
1912,GB302,buna1278-suai,Is there a dedicated; obligatory and productive construction that marks passive voice; not morphologically on the verb nor on the A argument?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but it is unclear whether it is morphologically bound
1913,GB303,buna1278-suai,Is there a dedicated; obligatory; productive construction that marks antipassive voice; not morphologically on the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but it is unclear whether it is morphologically bound
1914,GB304,buna1278-suai,Can the A argument be overtly expressed in a passive clause or be overtly marked to signal a passive clause?,?,Not known,,,0: absent;1: present,Not mentioned
1915,GB305,buna1278-suai,Are there phonologically independent reflexive pronouns?,?,Not known,,,0: absent;1: present,Not mentioned; Not clear if they are phonologically independent
1916,GB306,buna1278-suai,Are there reciprocal pronouns that are not-bipartite?,?,Not known,,,0: absent;1: present,Not mentioned
1917,GB307,buna1278-suai,Are there bipartite reciprocal pronouns?,?,Not known,,,0: absent;1: present,Not mentioned
1918,GB308,buna1278-suai,Can tense be marked by a productive; obligatory and dedicated construction that is not morphologically bound to the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1919,GB309,buna1278-suai,Are there multiple past or future tenses; distinguishing distance from Time of Reference; in any form?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1920,GB310,buna1278-suai,Can aspect be marked by a productive; obligatory and dedicated construction that is not morphologically bound to the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1921,GB311,buna1278-suai,Can mood be marked by a productive; obligatory and dedicated construction that is not morphologically bound to the verb?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1922,GB312,buna1278-suai,Can modal distinctions be marked on the verb; productively; dedicatedly and obligatorily?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb but not treated as morphologically bound
1923,GB313,buna1278-suai,Are there possessive pronouns?,?,Not known,,,0: absent;1: present,Not mentioned
1924,GB314,buna1278-suai,Can augmentative be marked productively by a system of nominal classification?,?,Not known,,,0: absent;1: present,Not mentioned
1925,GB315,buna1278-suai,Can diminutive be marked productively by a system of nominal classification?,?,Not known,,,0: absent;1: present,Not mentioned
1926,GB316,buna1278-suai,Can singular number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
1927,GB317,buna1278-suai,Can dual number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
1928,GB318,buna1278-suai,Can plural number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
1929,GB319,buna1278-suai,Can trial number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
1930,GB320,buna1278-suai,Can paucal number of a noun be marked by a productive; obligatory and dedicated marker in the noun phrase that is not bound to the noun and is not an agreement exponent of a plural marker on the noun?,?,Not known,,,0: absent;1: present,Not mentioned; The marker is adjacent to the verb and it is unclear whether it is morphologically bound to it
1931,GB321,buna1278-suai,Is there an open class of noun stems that are assigned to gender/noun class categories arbitrarily?,?,Not known,,,0: absent;1: present,Not mentioned; There may be a gender or noun class system but it seems to be semantic
1932,GB322,buna1278-suai,Does the language encode direct evidentiality (perceived with senses)?,?,Not known,,,0: absent;1: present,Not mentioned
1933,GB323,buna1278-suai,Does the language encode indirect evidentiality (hearsay; inference; etc.)?,?,Not known,,,0: absent;1: present,Not mentioned
1934,GB324,buna1278-suai,Are some content interrogatives (who?; what?; etc.) expressed in interrogative verbs?,?,Not known,,,0: absent;1: present,Not mentioned
1935,GB325,buna1278-suai,Is there a count/mass distinction in content interrogatives (e.g. English how many vs. how much)?,?,Not known,,,0: absent;1: present,Not mentioned
1936,GB326,buna1278-suai,Do (nominal) content interrogatives normally or frequently occur in situ (i.e. in the normal position for a non-interrogative NP in the same participant role)?,?,Not known,,,0: absent;1: present,Not mentioned
1937,GB327,buna1278-suai,Can the relative clause follow the noun?,?,Not known,,,0: absent;1: present,Not mentioned
1938,GB328,buna1278-suai,Can the relative clause precede the noun?,?,Not known,,,0: absent;1: present,Not mentioned
1939,GB329,buna1278-suai,Are there internally-headed relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
1940,GB330,buna1278-suai,Are there correlative relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
1941,GB331,buna1278-suai,Are there adjoined relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
1942,GB332,buna1278-suai,Are there double-headed relative clauses?,?,Not known,,,0: absent;1: present,Not mentioned
1943,GB333,buna1278-suai,Is there a decimal counting system?,2,y,p.99-100; with 7-9 borrowed from surrounding AN,,0: absent;1: present;2:y,Not mentioned
1944,GB334,buna1278-suai,Is there synchronic evidence for any element of a quinary counting system?,?,Not known,,,0: absent;1: present,Not mentioned
1945,GB335,buna1278-suai,Is there synchronic evidence for any element of a vigesimal counting system?,?,Not known,,,0: absent;1: present,Not mentioned
1946,GB336,buna1278-suai,Is there a body-part tallying system?,2,n,,,2:n;1: present;0: absent,Not mentioned
1947,GB502,buna1278-suai,What is the relative position of possessor pronoun and possessed in the attributive possessive construction?,1,n pospro,,needs-check,0:1;2:2;1:n pospro,
1948,GB503,buna1278-suai,Are S and A marked by the same affix/clitic?,?,Not known,,,1:n;0:y,
1949,GB508,buna1278-suai,Are there core adjectives (elements denoting property concepts) that act like nouns?,0,n,,,0:n,
1950,GB509,buna1278-suai,Are demonstratives used pronominally?,0,y,,p. 99,1:n;0:y;2:?,
1951,GB510,buna1278-suai,Are demonstratives used adnominally?,0,y,,,0:y,
1952,GB511,buna1278-suai,Do demonstratives encode elevation?,1,n,,,1:n;0:y;2:?,
1953,GB512,buna1278-suai,Is there an opposition between three or more elevation terms in the demonstrative system?,?,Not known,,,1:n;0:y;2:?,
1954,GB514,buna1278-suai,Is animacy distinguished in the demonstrative system?,1,y,,,0:n;1:y;2:?,
1955,GB515,buna1278-suai,Is humanness distinguished in the demonstrative system?,0,n,,,0:n;1:?,
1956,GB516,buna1278-suai,How are locationals and demonstratives formally related?,0,0,,needs-check,0:1;2:0;1:3;3:2;4:?,
1957,GB517,buna1278-suai,Is there an opposition between three or more distance terms in the locational system?,1,n,,,1:n;0:y;2:?,
1958,GB518,buna1278-suai,Do locationals encode elevation?,0,y,,,1:n;0:y;2:?,
1959,GB519,buna1278-suai,Is there an opposition between three or more elevation terms in the locational system?,0,y,,,1:n;0:y;2:?,
1960,GB520,buna1278-suai,Do locationals encode direction (based on a coordinate system)?,1,n,,,1:n;0:y;2:?,
1961,GB521,buna1278-suai,Is the opposition visible-non-visible marked on locationals?,0,n,,,0:n;1:y;2:?,
1962,R1102,buna1278-suai,How many places of articulation are there for stops?,4,4,,needs-check,2:5;0:4;1:3,
1963,R1103,buna1278-suai,How many places of articulation are there for nasals?,2,2,,needs-check,1:2;0:3,
1964,R1103a,buna1278-suai,Are there as many points of articulation for nasals as there are for stops?,0,n,,,0:n;1:y,
1965,R1103b,buna1278-suai,Is there contrast between heterorganic and homorganic sequence of nasal and velar stop?,0,n,,,0:n,
1966,R1105,buna1278-suai,Are there fricative phonemes?,0,y,,,0:y,
1967,R1106,buna1278-suai,Are there phonemic prenasalised stops?,0,n,,,0:n,
1968,R1107,buna1278-suai,Is there a phonemic distinction between l/r?,0,y,,,0:y,
1969,R1108,buna1278-suai,Is there a phonemic velar fricative or glide?,0,n,,,0:n;1:y,
1970,R1109,buna1278-suai,Is there a voicing contrast between oral (i.e. non-prenasal) stops?,0,y,,,1:n;0:y,
1971,R1109a,buna1278-suai,Is there a laminal/apical contrast?,0,n,,,0:n,
1972,R1109b,buna1278-suai,Are there retroflexed consonants?,0,n,,,0:n,
1973,R1110,buna1278-suai,Is there phonemic consonant length?,0,n,,,0:n;1:y,
1974,R1111,buna1278-suai,Is there phonemic vowel length?,1,n,,,1:n;0:y,
1975,R1112,buna1278-suai,Are there contrastive phonation types for vowels?,0,n,,,0:n;1:y,
1976,R1113a,buna1278-suai,Are there two or more contrastive central vowels?,1,n,,,1:n;0:y,
1977,R1115,buna1278-suai,Is there lexically determined suprasegmental prominence?,1,n,,,1:n;0:y,
1978,R1116,buna1278-suai,Is there weight-sensitive suprasegmental prominence,?,Not known,,,1:n;0:y,
1979,R1117,buna1278-suai,Is there syllable position sensitive suprasegmental prominence?,0,y,stress is on penultimate syllable,p. 62,1:n;2:no data;0:y;3:?,
1980,R1118,buna1278-suai,Is there a tonal system?,1,n,,,1:n;0:y,
1981,R1202,buna1278-suai,Are there word-final consonants?,0,y,, see p.54-57;for CV patterns,0:y,
1982,R1203a,buna1278-suai,Are there consonant clusters (not counting prenasalized consonants) in syllable onset?,0,n,,,0:n;1:y,
1983,R1204,buna1278-suai,Are there consonant clusters (not counting prenasalized consonants) in syllable coda?,0,n,,,0:n;1:y,
1984,R2203,buna1278-suai,Is number marked in pronouns?,0,y,,,0:y,
1985,R2504a,buna1278-suai,Is plant status a relevant category in the noun class/gender system?,0,y,p.178: In the ANIMATE class are the nouns referring to corn; potato and pumpkin; foods which are at the centre of the diets of the Bunaq people and are the focus of agricultural production. By contrast; the crops of the INANIMATE noun class items; such as taro and rice; are on the whole much less significant in the livelihoods of the Bunaq.,,1:n;0:y,
1986,R2507,buna1278-suai,Is there concord beyond the NP; i.e. agreement of elements outside the NP with the noun class of a noun?,0,n,,,0:n,
1987,R2508,buna1278-suai,Are there classifiers?,1,n,,,1:n;0:y;2:?,
1988,R2601,buna1278-suai,Are there possessive classes?,0,y,,chapter 9,1:n;0:y,
1989,R2702,buna1278-suai,Is there evidence for any element of a quinary counting system?,1,n,,,1:n;0:y,
1990,R2703b,buna1278-suai,Is there a minimal counting system or no clear number altogether?,0,n,,,0:n,
1991,R3103,buna1278-suai,Do the same morphemes systematically encode both TAM and person?,?,Not known,,,0:n,
1992,R3502,buna1278-suai,Is gender marked anywhere separately to person?,0,n,,,0:n,
1993,R3605,buna1278-suai,Is there intransitivising morphology (include clitics)?,0,n,,,0:n;2:y;1:?,
1994,R4305a,buna1278-suai,Are there relative clauses; i.e. embedded construction by which a clause modifies a head N?,0,y,p.193: The head of a restrictive RC occurs at the front of the RC marked with the restrictive focus particle na ‘FOC’ (§3.5.7.2). As with non-restrictive RCs; the head is gapped; that is; is missing from inside the RC itself.,,2:n;0:y;1:?,
1995,R4307,buna1278-suai,Are there purposive non-finite subordinate clauses?,0,n,at least not non-finite,,0:n;1:y;2:?,
1996,R4308,buna1278-suai,Are there temporal non-finite subordinate clauses?,0,n,,,0:n;1:y;2:?,
1997,R4308a,buna1278-suai,Are there conditional non-finite subordinate clauses?,1,n,,,1:n;0:y;2:?,
1998,R4309a,buna1278-suai,Are there complement clauses for speech verbs?,1,n,answer based on examples like (82) p.279,,1:n;3:no data;0:y;2:?,
1999,R4309b,buna1278-suai,Are there complement clauses for perception verbs?,1,n,,,1:n;3:no data;0:y;2:?,
2000,R4309c,buna1278-suai,Is there a complementizer that precedes a complement clause?,?,Not known,,,0:n;1:no data;2:y;3:?,
2001,R4309d,buna1278-suai,Is there a complementizer that follows a complement clause?,?,Not known,,,0:n;1:no data;2:y;3:?,
2002,R4311,buna1278-suai,Are there participle or gerund constructions; morphologically separate from RC or subordinate clauses?,0,n,,,0:n;1:?,
2003,R5202,buna1278-suai,Is there a construction encoding kin dyads?,1,n,,,1:n;0:no data;2:y;3:?,
2004,R5203,buna1278-suai,Is the term for father the same as the term for father's brother  (i.e. F = FB)?,1,y,Terms for males of the ego’s parent’s generation show a “simple bifurcate merging pattern”: males of the parental generation on the ego’s father’s family are referred to as “father”; while males of the parental generation on the ego’s mother’s family have a distinct term; baba. ,,0:n;3:no data;1:y;2:?,
2005,R5204,buna1278-suai,Is the term for mother's brother the same as the term for father's brother (i.e. MB = FB)?,0,n,,,0:n;3:no data;1:y;2:?,
2006,R5205,buna1278-suai,Are there self-converse grandparent terms?,0,n,,,0:n;1:no data;2:?,
2007,R5206,buna1278-suai,Is there a terminological distinction between cross- and parallel-cousins?,0,n,,,0:n;3:no data;1:y;2:?,
2008,R5207,buna1278-suai,Is there a terminological distinction between first and second cousins (for at least some types of cousin)?,0,n,,,0:n;3:no data;1:y;2:?,
2009,R5208,buna1278-suai,Is there a terminological distinction between patrilateral and matrilateral cousins (for at least some types of cousin)?,0,n,,,0:n;3:no data;1:y;2:?,
2010,R5209,buna1278-suai,Is the term for a man's child distinct from the term for a woman's child?,0,n,,,0:n;2:no data;1:?,
2011,R5210,buna1278-suai,Is the term for a man's child the same as the term for a woman's brother's child?,1,n,,,1:n;3:no data;0:y;2:?,
2012,R5211,buna1278-suai,Is relative age a factor in differentiating at least one sibling term?,0,y,,,1:no data;0:y;2:?,
2013,R5212,buna1278-suai,Is sex of referent a factor in differentiating at least one sibling term?,1,y,,,0:n;3:no data;1:y;2:?,
2014,SD224,buna1278-suai,What is the relative position of possessor noun and possessed in the attributive possessive construction?,1,posn n,,needs-check,0:1;1:posn n;2:3,
2015,SD295,buna1278-suai,Do demonstratives encode direction (based on a coordinate system)?,1,n,,,1:n;0:y;2:?,
2016,SD319,buna1278-suai,Are S and A marked by the same prefix/proclitic?,?,Not known,,,0:n;1:y,
2017,SD320,buna1278-suai,Are S and A marked by the same suffix/enclitic?,?,Not known,,,0:n;1:?,
2018,SD321,buna1278-suai,Are S and O marked by the same affix/clitic?,1,n,,,1:n;0:y,
2019,SD341,buna1278-suai,Can negation be marked postverbally?,0,y,p. 137-138,,1:n;0:y,
2020,SD342,buna1278-suai,Can negation be marked preverbally?,1,y,p. 139-149,,0:n;1:y,
2021,SD343,buna1278-suai,Are there negative verbs?,2,Not known,,needs-check,1:n;0:y;2:?,
2022,SD344,buna1278-suai,Are there adjectives (elements denoting property concepts) that act like nouns?,?,Not known,,,0:n;1:y,
2023,SD369,buna1278-suai,Can ideophones act like their own morphosyntactic class?,0,n,,,0:n;1:no data;2:?,
